"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
5000,7500,0.1,"in","Fall"
4750,7500,0.12,"in","Fall"
4500,7500,0.15,"in","Fall"
4250,7500,0.18,"in","Fall"
4000,7500,0.2,"in","Fall"
3750,7500,0.23,"in","Fall"
3500,7500,0.24,"in","Fall"
3250,7500,0.3,"in","Fall"
29000,8000,NA,"in","Fall"
27000,8000,NA,"in","Fall"
25000,8000,NA,"in","Fall"
23000,8000,NA,"in","Fall"
21000,8000,NA,"in","Fall"
19000,8000,NA,"in","Fall"
17000,8000,NA,"in","Fall"
15000,8000,NA,"in","Fall"
14000,8000,NA,"in","Fall"
13000,8000,NA,"in","Fall"
12000,8000,NA,"in","Fall"
11000,8000,NA,"in","Fall"
10000,8000,NA,"in","Fall"
9000,8000,NA,"in","Fall"
8000,8000,NA,"in","Fall"
7500,8000,0.01,"in","Fall"
7000,8000,0.02,"in","Fall"
6500,8000,0.03,"in","Fall"
6000,8000,0.05,"in","Fall"
5500,8000,0.08,"in","Fall"
5250,8000,0.1,"in","Fall"
5000,8000,0.12,"in","Fall"
4750,8000,0.14,"in","Fall"
4500,8000,0.18,"in","Fall"
4250,8000,0.21,"in","Fall"
4000,8000,0.23,"in","Fall"
3750,8000,0.26,"in","Fall"
3500,8000,0.3,"in","Fall"
3250,8000,0.33,"in","Fall"
29000,9000,NA,"in","Fall"
27000,9000,NA,"in","Fall"
25000,9000,NA,"in","Fall"
23000,9000,NA,"in","Fall"
21000,9000,NA,"in","Fall"
19000,9000,NA,"in","Fall"
17000,9000,NA,"in","Fall"
15000,9000,NA,"in","Fall"
14000,9000,NA,"in","Fall"
13000,9000,NA,"in","Fall"
12000,9000,NA,"in","Fall"
11000,9000,NA,"in","Fall"
10000,9000,NA,"in","Fall"
9000,9000,NA,"in","Fall"
8000,9000,0.02,"in","Fall"
7500,9000,0.03,"in","Fall"
7000,9000,0.05,"in","Fall"
6500,9000,0.07,"in","Fall"
6000,9000,0.1,"in","Fall"
5500,9000,0.14,"in","Fall"
